"Reference","Value","Datasheet","Footprint","Qty","DNP"
"18650_1,18650_2,18650_3,18650_4","2200mAH","~","","4",""
"C1,C2,C3,C8,C12,C13,C14,C15,C16,C19,C20,C21,C37,C44,C65,C67,C72","4.7uF","~","","17",""
"C4,C5,C22","1nF","~","","3",""
"C6,C31,C41","1uF","~","","3",""
"C7,C74,C76","22uF","~","","3",""
"C9,C30,C32,C33,C34,C35,C36,C42,C43,C79,C80","100nF","~","-- mixed values --","11",""
"C10,C11,C46,C47,C50,C53,C54,C55",".1uF","~","","8",""
"C17,C18","C","~","","2",""
"C23,C48,C51,C56,C57,C58","33nF","~","","6",""
"C24,C25,C26,C27,C28,C39,C40,C45,C49,C52,C59,C60,C61,C62,C63,C64,C68,C69,C70,C71","100uF","~","","20",""
"C29,C38","10p","~","","2",""
"C66,C73,C75","10uF","~","","3",""
"C77,C78","1n","~","","2",""
"CR1","SMM4F5.0A-TR","SMM4F5.0A-TR","CR_F5.0A-TR_STM","1",""
"CR2","STPS120MF","STPS120MF","DO222-AA_STM","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","LED","~","","9",""
"D10,D12","CUHS20S30,H3F","https://toshiba.semicon-storage.com/info/docget.jsp?did=63606&prodName=CUHS20S30","CUHS20S40H3F","2",""
"IC1","SPV1040T","","SOP65P640X120-8N","1",""
"IC2,IC25","SN74LVC1G14DCKTE4","https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf?ts=1605695370486&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DSN74LVC1G14DRLR","SOT65P210X110-5N","2",""
"IC3","MAX25239AFFB_VY+","https://www.analog.com/MAX25239/datasheet","MAX25239AFFBVY","1",""
"IC4,IC7,IC9,IC11,IC13,IC14,IC15,IC24","TLV803SDBZT","http://www.ti.com/lit/ds/symlink/tlv803.pdf","SOT95P237X95-3N","8",""
"IC5,IC8,IC12,IC16,IC17,IC18","TPS25942LRVCT","http://www.ti.com/lit/gpn/tps25942l","QFN50P300X400X80-21N","6",""
"IC6","ADM7172ACPZ-4.2-R7","https://www.analog.com/media/en/technical-documentation/data-sheets/adm7172.pdf","SON50P300X300X80-9N-D","1",""
"IC10,IC26","74LVC1G32GV,125","https://assets.nexperia.com/documents/data-sheet/74LVC1G32.pdf","SOT95P275X110-5N","2",""
"IC19","MIC29300-3.3WU","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en580805","MIC2930033WU","1",""
"IC20,IC21","SN74LVC1G08DCKT","http://www.ti.com/lit/gpn/sn74lvc1g08","SOT65P210X110-5N","2",""
"IC22,IC23","ADP2504ACPZ-3.3-R7","https://www.analog.com/media/en/technical-documentation/data-sheets/adp2503_2504.pdf","SON50P300X300X85-11N-D","2",""
"J1,J2","1979","http://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1979_Web.pdf","RHDR40W60P250_2X20_5100X500X2300P","2",""
"J3","USB_B_Micro","~","","1",""
"J4,J5","FTSH-105-01-L-DV-K-P-TR","http://suddendocs.samtec.com/prints/ftsh-1xx-xx-xxx-dv-xxx-xxx-mkt.pdf","FTSH-105-XX-YYY-DV-K-P-TR","2",""
"L1","10uH","~","","1",""
"L2","2.2uH","~","","1",""
"L3,L4","1.5uH","~","","2",""
"LOAD_SWITCH?,VBUS_SWITCH?","AYZ0102AURLC","https://www.ckswitches.com/media/1431/ayz.pdf","AYZ0102AURLC","2",""
"Q1,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12","SQ3426CEEV-T1_GE3","https://www.vishay.com/docs/62147/sq3426ceev.pdf","SOT95P284X110-6N","9",""
"R1,R2,R3,R97,R99","1K","~","","5",""
"R4","150m","~","","1",""
"R5","820K","~","","1",""
"R6","261K","~","","1",""
"R7,R13,R38,R49,R52,R55","110K","~","","6",""
"R8,R16,R19,R20,R31,R41,R42,R58,R59,R60,R61,R62,R63","R","~","","13",""
"R9,R10,R11,R12,R21,R23,R25,R27,R28,R32,R33,R36,R43,R44,R47,R64,R65,R66,R67,R68,R69,R76,R78,R80,R92","10K","~","","25",""
"R14,R18,R39,R50,R53,R56","8450","~","","6",""
"R15,R17,R40,R51,R54,R57","24.9K","~","","6",""
"R22,R34,R45,R70,R72,R74","470K","~","","6",""
"R24,R35,R46,R71,R73,R75","182K","~","","6",""
"R26,R29,R30,R37,R48,R77,R79,R81,R82","DNI","~","","9",""
"R83,R84,R85,R86,R87,R88,R89,R90,R91","330","~","","9",""
"R93","100K","~","","1",""
"R96,R98","33K","~","","2",""
"U1","STM32L071KBU3TR","https://www.st.com/resource/en/datasheet/stm32l071kb.pdf","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","1",""
"U3","STM32L433CCTx","https://www.st.com/resource/en/datasheet/stm32l433cc.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"Y2","ABM10AIG-24.000MHZ-4Z-T3","https://abracon.com/AIGcrystals/ABM10AIG.pdf","ABM10AIG","1",""
